,DATE,True_price,rf_predicted_price,xgb_predicted_price
0,2016-01-02,3134.8,3010.4854821113486,2647.273
1,2016-01-03,3134.8,2818.3442132016153,3295.4336
2,2016-01-04,3786.956100710136,2857.4031944412313,3573.0667
3,2016-01-05,3424.8703058459155,3648.5321025150756,3559.1458
4,2016-01-06,3014.227926876701,3250.465938658239,3135.459
5,2016-01-07,3314.2125984251966,2999.95632682759,2867.0967
6,2016-01-08,2989.9554962171787,3191.531591651201,3086.665
7,2016-01-09,2391.4860335195526,2992.234324574497,2775.646
8,2016-01-10,2100.1346389228884,2432.7165493703897,2201.3257
9,2016-01-11,3366.3407917383824,2576.2325729165673,2936.0278
10,2016-01-12,2816.596931659693,3197.1399589883467,3581.5742
11,2016-01-13,2874.098737083812,2928.4813661503053,2781.3853
12,2016-01-14,2552.6317810849737,2974.9522650572408,2671.3535
13,2016-01-15,2269.1141893739177,2583.8656888484065,2499.2124
14,2016-01-16,2556.87587657784,2592.0115043282326,2576.2036
15,2016-01-17,2117.855626326964,2536.2093059818294,2157.587
16,2016-01-18,3607.717506164143,3847.5949427794135,3741.8213
17,2016-01-19,3082.364613476643,3546.1447093427983,3327.8237
18,2016-01-20,2836.144871171609,3017.7064049911355,2907.099
19,2016-01-21,3094.098094852047,3045.7269105124365,3259.7742
20,2016-01-22,3500.107934103389,3035.1888155916677,3131.1392
21,2016-01-23,3435.314685314685,3378.707526494666,3442.0728
22,2016-01-24,3014.558258642765,3357.3540402727767,3119.1218
23,2016-01-25,4303.305033353547,3283.318063516818,3849.8132
24,2016-01-26,3565.860948667966,4001.775424775825,4121.1763
25,2016-01-27,3421.9656601539377,3488.778475384934,3546.989
26,2016-01-28,3957.075434439179,3302.9833630326666,3477.431
27,2016-01-29,3920.0459858210384,3746.247573571498,3835.5671
28,2016-01-30,4056.282460136674,3724.116748488226,3829.4287
29,2016-01-31,2996.147635524798,3500.925870224758,3042.7305
30,2016-02-01,4441.322375793799,4107.539175026778,4233.9165
31,2016-02-02,3863.370887787292,4071.8503275893327,4058.585
32,2016-02-03,4086.4373019465834,3710.7385482329714,3865.8699
33,2016-02-04,3989.1765669807455,3740.1748792026233,3945.2634
34,2016-02-05,3775.4695570511817,3739.65206370769,3850.8738
35,2016-02-06,4039.6339677891656,3604.675862273189,3896.3728
36,2016-02-07,3444.344008264463,3495.244360778204,3357.5986
37,2016-02-08,3110.0,3362.7871084615695,3397.0203
38,2016-02-09,0.0,2749.364241950037,287.5086
39,2016-02-10,2420.0,3056.1701902440977,2431.3906
40,2016-02-11,3939.79320318149,3165.0692739491897,3835.8193
41,2016-02-12,3416.036779883655,3735.9311335829284,3524.4888
42,2016-02-13,3152.0544653584298,3202.4334535765465,3194.6814
43,2016-02-14,2839.380014587892,3084.304634554621,2820.9644
44,2016-02-15,3702.5707213578503,3019.1888306175506,3401.1157
45,2016-02-16,3294.411016949152,3609.933667827285,3323.0752
46,2016-02-17,3578.934036939313,3138.1134655745386,3167.7246
47,2016-02-18,3691.904064857561,3464.2673536453685,3580.2852
48,2016-02-19,3405.339146304369,3613.5957949310746,3608.8845
49,2016-02-20,2868.216845878136,3233.315869610863,3268.2952
50,2016-02-21,2269.6754850088187,2978.303174782977,2592.3037
51,2016-02-22,3086.0770623222134,2490.1655302152185,2724.2188
52,2016-02-23,3061.1526670754133,3017.7064049911355,3018.4795
53,2016-02-24,3243.7568627450983,3035.367497916285,3074.8032
54,2016-02-25,3288.335679099226,3110.6178268773742,3166.492
55,2016-02-26,3240.938283993979,3115.083315587307,3226.7192
56,2016-02-27,2945.026511134676,3107.3681912384213,3177.589
57,2016-02-28,2707.575180814617,3140.4494968745935,2779.0288
58,2016-02-29,2845.929861849097,2922.649581298061,3317.4182
59,2016-03-01,2854.0873533246413,3034.9977759828284,3237.5688
