               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062096,            0.063517,               0.042,             0.75582,             0.15827,             0.14396,            0.061694,            0.052497,            0.045086,            0.038144,            0.067166,          0.00033166,          0.00033166
                   1,            0.045131,            0.056299,            0.033515,             0.77235,             0.21884,             0.21242,             0.11513,            0.043391,            0.039129,            0.034381,            0.034159,          0.00065841,          0.00065841
                   2,            0.041771,            0.055287,             0.03055,             0.69681,              0.2451,             0.23355,             0.12942,            0.038311,            0.037811,            0.031834,           0.0011461,          0.00097856,          0.00097856
                   3,            0.038681,             0.05446,            0.029231,              0.7133,             0.26309,             0.24526,             0.13718,            0.039582,            0.037616,            0.031352,           0.0009703,           0.0009703,           0.0009703
                   4,             0.03732,            0.052983,            0.028076,              0.4766,             0.31569,             0.25573,             0.13914,            0.039306,            0.037632,            0.030436,           0.0009703,           0.0009703,           0.0009703
                   5,            0.036516,            0.053103,            0.027402,             0.60146,             0.32289,             0.28978,             0.16406,            0.036652,            0.036522,            0.029522,           0.0009604,           0.0009604,           0.0009604
                   6,             0.03548,            0.052549,            0.026589,             0.61227,             0.32854,             0.29487,             0.17077,            0.035158,            0.036472,            0.029105,           0.0009505,           0.0009505,           0.0009505
                   7,            0.034815,            0.051737,            0.026341,             0.61025,             0.31977,             0.29867,             0.17302,            0.036526,            0.036397,            0.030564,           0.0009406,           0.0009406,           0.0009406
                   8,             0.03417,            0.051628,            0.025515,             0.64327,             0.32033,             0.30246,             0.18256,            0.033724,            0.036481,            0.027699,           0.0009307,           0.0009307,           0.0009307
                   9,            0.033765,            0.051589,            0.025118,             0.64832,             0.35026,              0.3196,             0.19387,            0.033479,            0.035155,            0.028496,           0.0009208,           0.0009208,           0.0009208
                  10,            0.033371,            0.050965,            0.024812,             0.64631,             0.34108,             0.33007,             0.19971,            0.033959,            0.035771,            0.027069,           0.0009109,           0.0009109,           0.0009109
                  11,             0.03282,             0.05134,            0.024269,             0.65688,             0.34217,             0.31675,             0.19144,            0.034526,            0.035917,             0.02629,            0.000901,            0.000901,            0.000901
                  12,            0.032952,            0.050502,            0.024319,             0.63937,             0.34983,             0.33211,             0.20173,            0.033139,            0.035004,            0.026134,           0.0008911,           0.0008911,           0.0008911
                  13,            0.032099,            0.049482,            0.023785,              0.6765,             0.35722,             0.35533,             0.21823,            0.031819,            0.034268,            0.025427,           0.0008812,           0.0008812,           0.0008812
                  14,            0.031637,            0.050014,            0.023671,             0.60695,             0.35301,              0.3503,             0.20926,            0.032978,            0.035395,            0.027105,           0.0008713,           0.0008713,           0.0008713
                  15,              0.0315,            0.049646,             0.02301,             0.58978,             0.36738,             0.36191,             0.22676,            0.031354,            0.033641,              0.0254,           0.0008614,           0.0008614,           0.0008614
                  16,             0.03138,             0.04968,            0.022567,             0.62613,             0.35617,             0.38346,              0.2368,            0.032004,            0.033582,            0.024425,           0.0008515,           0.0008515,           0.0008515
                  17,            0.031265,            0.048965,            0.022339,             0.65589,             0.35878,             0.37234,             0.23398,            0.030738,            0.033837,            0.024355,           0.0008416,           0.0008416,           0.0008416
                  18,            0.030892,            0.048988,            0.022246,             0.61141,             0.38217,             0.37741,             0.23361,            0.032369,            0.034204,            0.025039,           0.0008317,           0.0008317,           0.0008317
                  19,            0.030716,            0.049542,            0.022036,             0.64285,             0.37023,              0.3883,             0.23681,            0.031427,            0.034479,             0.02469,           0.0008218,           0.0008218,           0.0008218
                  20,             0.03038,            0.048845,            0.021573,              0.6304,             0.38831,             0.39091,              0.2467,            0.030161,            0.033579,            0.023696,           0.0008119,           0.0008119,           0.0008119
                  21,            0.029888,            0.048964,             0.02103,             0.65486,             0.38183,             0.39232,             0.24878,            0.030356,            0.033851,            0.024042,            0.000802,            0.000802,            0.000802
                  22,            0.029962,            0.048452,            0.021048,             0.62946,             0.37123,             0.38388,             0.24079,            0.032122,            0.034242,            0.023176,           0.0007921,           0.0007921,           0.0007921
                  23,            0.029349,            0.047938,            0.020816,             0.65385,             0.40434,             0.40849,             0.25726,             0.03104,            0.033754,            0.023299,           0.0007822,           0.0007822,           0.0007822
                  24,            0.029728,            0.048528,            0.020622,             0.66854,             0.39272,             0.40323,               0.258,            0.029766,            0.033062,            0.022631,           0.0007723,           0.0007723,           0.0007723
                  25,            0.029884,            0.047773,            0.020546,             0.66797,              0.3813,             0.40026,             0.25097,            0.030608,             0.03318,            0.024003,           0.0007624,           0.0007624,           0.0007624
                  26,            0.029104,            0.048285,            0.019804,             0.69561,             0.40409,             0.42639,             0.27239,            0.029882,            0.032964,            0.022121,           0.0007525,           0.0007525,           0.0007525
                  27,            0.029115,            0.047134,            0.020079,             0.69659,             0.40357,             0.42091,             0.26481,            0.029949,            0.033044,            0.021894,           0.0007426,           0.0007426,           0.0007426
                  28,            0.029007,            0.047664,            0.020268,             0.66018,             0.41056,             0.41928,             0.27134,            0.029407,            0.033046,             0.02281,           0.0007327,           0.0007327,           0.0007327
                  29,            0.029094,            0.047644,            0.019868,             0.68608,             0.40616,              0.4268,             0.26957,            0.029834,            0.033229,            0.021379,           0.0007228,           0.0007228,           0.0007228
                  30,            0.028679,             0.04685,            0.019141,             0.69557,             0.40622,             0.44065,             0.28444,            0.028899,            0.032084,            0.021083,           0.0007129,           0.0007129,           0.0007129
                  31,            0.028008,            0.046876,            0.018987,             0.69212,             0.41487,             0.44112,             0.27892,            0.029535,            0.032722,            0.022038,            0.000703,            0.000703,            0.000703
                  32,            0.028126,            0.046141,             0.01826,             0.71611,             0.42507,             0.46315,             0.29815,            0.028614,            0.032899,            0.020518,           0.0006931,           0.0006931,           0.0006931
                  33,             0.02813,            0.046234,            0.018239,             0.62289,             0.45121,              0.4505,              0.2875,            0.029593,            0.032892,            0.021205,           0.0006832,           0.0006832,           0.0006832
                  34,            0.028414,            0.045762,            0.018311,             0.66188,             0.46023,             0.46152,             0.30056,            0.029193,            0.032629,            0.020723,           0.0006733,           0.0006733,           0.0006733
                  35,            0.027815,             0.04524,            0.018453,             0.62833,             0.45865,             0.46254,             0.30194,             0.02838,            0.032463,            0.020474,           0.0006634,           0.0006634,           0.0006634
                  36,            0.028071,             0.04554,            0.017842,             0.64385,             0.46679,             0.46698,             0.30652,            0.027931,            0.032019,            0.020408,           0.0006535,           0.0006535,           0.0006535
                  37,            0.027432,            0.045177,            0.017527,             0.64994,             0.46427,             0.46975,             0.30403,            0.028167,            0.032411,            0.020334,           0.0006436,           0.0006436,           0.0006436
                  38,            0.027451,            0.045394,            0.017628,             0.67922,             0.47459,             0.48368,             0.31626,            0.027956,             0.03243,            0.019654,           0.0006337,           0.0006337,           0.0006337
                  39,            0.027463,            0.046568,            0.017294,             0.68422,             0.46842,             0.47913,             0.30585,            0.028722,            0.032344,             0.02015,           0.0006238,           0.0006238,           0.0006238
                  40,            0.027413,            0.045265,            0.017104,             0.66256,             0.48256,             0.48475,              0.3147,              0.0281,            0.031844,            0.020001,           0.0006139,           0.0006139,           0.0006139
                  41,            0.027018,            0.044425,            0.016433,             0.66372,             0.47802,             0.48358,              0.3165,             0.02841,            0.032602,             0.01947,            0.000604,            0.000604,            0.000604
                  42,            0.026841,            0.044667,             0.01676,              0.6994,             0.47618,             0.49418,             0.32436,            0.027698,            0.031676,            0.019208,           0.0005941,           0.0005941,           0.0005941
                  43,            0.027003,            0.044434,            0.016353,             0.70414,             0.47918,             0.49847,             0.32857,            0.027534,            0.031215,            0.018464,           0.0005842,           0.0005842,           0.0005842
                  44,            0.026367,            0.044933,            0.016257,             0.71236,             0.47238,             0.49758,              0.3271,            0.027626,            0.031427,            0.018807,           0.0005743,           0.0005743,           0.0005743
                  45,            0.026687,            0.044839,            0.016092,             0.72476,             0.46676,             0.50563,             0.33296,            0.027537,            0.031896,            0.019344,           0.0005644,           0.0005644,           0.0005644
                  46,            0.026275,            0.043952,            0.015784,             0.68623,             0.50012,             0.50997,             0.33703,            0.027372,            0.031272,            0.018632,           0.0005545,           0.0005545,           0.0005545
                  47,            0.026361,            0.044287,             0.01522,             0.74455,             0.47095,             0.51478,             0.33847,            0.027275,            0.031004,            0.018569,           0.0005446,           0.0005446,           0.0005446
                  48,            0.026214,            0.043383,            0.014882,             0.72998,             0.48756,             0.51172,              0.3348,            0.027602,            0.031364,            0.018928,           0.0005347,           0.0005347,           0.0005347
